URL,Faculty Name,Tab Name,Row Data
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rdrsselvititle articleprogressing biometric security concern blowfish algorithmname journalinternational journal innovative technology exploring engineering ijiteevolume noissue nospage nourlhttpswwwijiteeorgindexing agencyscopusdate publicationjul, category, article research journal, sole authored co authored, coauthor, author name, sridevi rdrsselvi, title article, progressing biometric security concern blowfish algorithm, name journal, international journal innovative technology exploring engineering ijitee, volume, issue, page, url, httpswwwijiteeorg, indexing agency, scopus, date publication, jul"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"category, article research journal"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"sole authored co authored, coauthor"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"author name, sridevi rdrsselvi"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"title article, progressing biometric security concern blowfish algorithm"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"name journal, international journal innovative technology exploring engineering ijitee"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,volume
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,issue
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,page
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"url, httpswwwijiteeorg"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"indexing agency, scopus"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"date publication, jul"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,book chapter,"slno, type book, title chapterarticle, isbn, month year"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,book chapter,"conference proceeding, novel approach machine reading comprehension using bertbased large language model, jul"
